input_name,db,acc_id,acc_name,kingdom,phylum,order,class,family,genus,syn_id,syn_name
Hydrochoerus hydrochaeris,gbif,GBIF:5786666,Hydrochoerus hydrochaeris,Animalia,Chordata,Rodentia,Mammalia,Caviidae,Hydrochoerus,NA,NA
Myoprocta acouchy,gbif,GBIF:2437590,Myoprocta acouchy,Animalia,Chordata,Rodentia,Mammalia,Dasyproctidae,Myoprocta,NA,NA
Glossophaga longirostris,gbif,GBIF:2433192,Glossophaga longirostris,Animalia,Chordata,Chiroptera,Mammalia,Phyllostomidae,Glossophaga,NA,NA
Gerbillus pusillus,gbif,GBIF:2437822,Gerbillus pusillus,Animalia,Chordata,Rodentia,Mammalia,Muridae,Gerbillus,NA,NA
Nasua nasua,gbif,GBIF:2433536,Nasua nasua,Animalia,Chordata,Carnivora,Mammalia,Procyonidae,Nasua,NA,NA
Saccopteryx bilineata,gbif,GBIF:5218731,Saccopteryx bilineata,Animalia,Chordata,Chiroptera,Mammalia,Emballonuridae,Saccopteryx,NA,NA
Natalus tumidirostris,gbif,GBIF:2432753,Natalus tumidirostris,Animalia,Chordata,Chiroptera,Mammalia,Natalidae,Natalus,NA,NA
Isthmomys pirrensis,gbif,GBIF:2438967,Isthmomys pirrensis,Animalia,Chordata,Rodentia,Mammalia,Cricetidae,Isthmomys,NA,NA
Liomys salvini,gbif,GBIF:2439506,Liomys salvini,Animalia,Chordata,Rodentia,Mammalia,Heteromyidae,Liomys,NA,NA
Galerella sanguinea,gbif,GBIF:5219098,Galerella sanguinea,Animalia,Chordata,Carnivora,Mammalia,Herpestidae,Galerella,NA,NA
Myotis keaysi,gbif,GBIF:2432420,Myotis keaysi,Animalia,Chordata,Chiroptera,Mammalia,Vespertilionidae,Myotis,NA,NA
Myotis oxyotus,gbif,GBIF:2432422,Myotis oxyotus,Animalia,Chordata,Chiroptera,Mammalia,Vespertilionidae,Myotis,NA,NA
Artibeus cinereus,gbif,GBIF:2433267,Artibeus cinereus,Animalia,Chordata,Chiroptera,Mammalia,Phyllostomidae,Artibeus,NA,NA
Caluromys derbianus,gbif,GBIF:2439992,Caluromys derbianus,Animalia,Chordata,Didelphimorphia,Mammalia,Didelphidae,Caluromys,NA,NA
Marmosa robinsoni,gbif,GBIF:2439862,Marmosa robinsoni,Animalia,Chordata,Didelphimorphia,Mammalia,Didelphidae,Marmosa,NA,NA
Metachirus nudicaudatus,gbif,GBIF:9686324,Metachirus nudicaudatus,Animalia,Chordata,Didelphimorphia,Mammalia,Didelphidae,Metachirus,NA,NA
Philander opossum,gbif,GBIF:5219950,Philander opossum,Animalia,Chordata,Didelphimorphia,Mammalia,Didelphidae,Philander,NA,NA
