abundance,year,genus,species,genus_species,fishbase_name,region,temp_min,temp_max,latitude,longitude,mean_summer_sst_degC
3,2003,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3358,-64.6898,27.95200157165523
1,2007,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.336,-64.6932,28.722001393636067
25,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3361,-64.6921,28.371667226155633
1,2003,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3363,-64.682,27.95200157165523
2,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3364,-64.6829,28.371667226155633
16,2001,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3364,-64.6818,28.2703348795573
29,2001,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3364,-64.693,28.2703348795573
8,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3365,-64.6804,28.371667226155633
22,2007,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3365,-64.6906,28.722001393636067
3,2008,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3366,-64.6918,28.496334075927734
7,2007,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3367,-64.6932,28.722001393636067
2,2005,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3367,-64.6928,28.984334309895832
5,2008,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3367,-64.6932,28.496334075927734
3,2007,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3367,-64.6915,28.722001393636067
3,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3368,-64.6919,28.371667226155633
46,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.337,-64.6902,28.371667226155633
8,2004,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.337,-64.6892,28.2163340250651
6,2007,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.337,-64.6917,28.722001393636067
3,2007,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3376,-64.6898,28.722001393636067
4,2010,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3378,-64.6907,29.162668228149432
2,2003,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3379,-64.6879,27.95200157165523
4,2004,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.338,-64.6772,28.2163340250651
17,2007,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3381,-64.6889,28.722001393636067
1,2006,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3382,-64.6903,28.5100015004476
2,2007,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3382,-64.6897,28.722001393636067
1,2008,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3382,-64.7017,28.496334075927734
1,2003,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3384,-64.6781,27.95200157165523
16,2003,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3386,-64.7022,27.95200157165523
3,2004,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3386,-64.6906,28.2163340250651
1,2008,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3387,-64.7065,28.496334075927734
1,2007,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3387,-64.6925,28.722001393636067
1,2010,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3387,-64.6909,29.162668228149432
6,2008,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3395,-64.7027,28.496334075927734
31,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3398,-64.6898,28.371667226155633
1,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3401,-64.7014,28.371667226155633
7,2007,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3403,-64.6929,28.722001393636067
1,2008,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3403,-64.694,28.496334075927734
2,2003,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3405,-64.6852,27.95200157165523
8,2005,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3407,-64.6934,28.984334309895832
1,2007,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3414,-64.6851,28.722001393636067
2,2006,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3414,-64.6925,28.5100015004476
1,2003,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3415,-64.684,27.95200157165523
9,2003,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3417,-64.6889,27.95200157165523
1,2008,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3417,-64.7036,28.496334075927734
2,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3421,-64.7013,28.371667226155633
11,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3424,-64.6883,28.371667226155633
15,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3431,-64.6875,28.371667226155633
3,2003,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3434,-64.7019,27.95200157165523
1,2005,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.344,-64.6843,28.984334309895832
12,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3442,-64.6946,28.371667226155633
1,2010,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3443,-64.7018,29.162668228149432
1,2005,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3444,-64.6939,28.984334309895832
13,2007,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3447,-64.687,28.722001393636067
5,2006,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3453,-64.7004,28.5100015004476
13,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3453,-64.7,28.371667226155633
1,2003,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3454,-64.6999,27.95200157165523
1,2001,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3456,-64.7002,28.2703348795573
2,2006,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3456,-64.6852,28.5100015004476
